Name,HDOP,Speed,Altitude,Lat,Long,COG,
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
,,,,,,,"
"
